strategy,avg_latency,p95_latency,p99_latency,success_rate,npu_load,rho_critical_theory,rho_critical_observed,total_energy,throughput,avg_wait_time,total_tasks,lambda,distribution
RandomScheduler,40.46376767687699,90.64287993300368,96.574320283392,0.9951338199513382,0.031109977384649427,0.8576446119052994,0.0,501.9133174683521,2.055,1.3550586663255342,411,2,uniform
RoundRobinScheduler,38.945034216671026,90.42255476642325,94.97162251660195,1.0,0.028323206101109867,0.8495360101571278,0.0,501.1132714926587,2.055,0.0,411,2,uniform
LoadBalanceScheduler,34.954766576768066,85.25155454143984,87.34211938282286,1.0,0.0004581424007757562,0.95,0.0,483.9669341362844,2.055,0.0,411,2,uniform
FastestResponseScheduler,48.37596224104449,95.45314965067232,166.9139193205689,0.9732360097323601,0.08944303985710707,0.8560253185825752,0.0,499.3549375371273,2.055,4.063362968451799,411,2,uniform
E2MACSScheduler,37.11426836598225,91.30363314683798,96.32811179539543,1.0,0.03339976533555402,0.95,0.0,487.17193839962243,2.055,0.7441863789620092,411,2,uniform
OracleScheduler,38.42383098465688,92.59590610717794,95.78125376484951,1.0,0.03575969183858259,0.95,0.0,509.1626050965192,2.055,0.046861879827022904,411,2,uniform
RandomScheduler,41.3595262866654,91.46796214809996,106.82139663528034,0.987546699875467,0.06127735903731159,0.8547774362158919,0.0,540.5077911639993,4.015,1.9676766448102376,803,4,uniform
RoundRobinScheduler,39.10992808747173,90.04305967151254,95.88998046352289,1.0,0.05749686472252104,0.8552050164470834,0.0,539.9727858266534,4.015,0.08222861465513537,803,4,uniform
LoadBalanceScheduler,35.28925560926473,84.85633300688845,89.51657936643927,1.0,0.0014686267427333189,0.9013687845644912,0.0,512.1649387611826,4.015,0.07102064454305525,803,4,uniform
FastestResponseScheduler,52.129600134130094,115.47082527741776,178.1781024179557,0.9676214196762142,0.17560839948321444,0.8562799340656988,0.0,537.2676957726136,4.015,6.729027277855222,803,4,uniform
E2MACSScheduler,40.498496077349444,98.43315250654993,165.12459707141392,1.0,0.12668225110253772,0.95,0.0,523.3540073683411,4.015,2.5107134841388974,803,4,uniform
OracleScheduler,38.66514956044595,91.72680212086277,95.70713747589508,1.0,0.06607724927462441,0.95,0.0,557.5763965994724,4.015,0.1206144564004492,803,4,uniform
RandomScheduler,40.62487968275055,91.41858811738501,123.03049095774762,0.9866220735785953,0.0842892483427357,0.8577923851528205,0.0,573.7703037781098,5.98,3.083218135253907,1196,6,uniform
RoundRobinScheduler,37.86001016024851,89.43590904855014,93.65783357997016,1.0,0.0841885635300289,0.8545621006651132,0.0,575.2316442105823,5.98,0.17716366154194374,1196,6,uniform
LoadBalanceScheduler,34.29845826092774,83.89466298482074,87.29779709091329,1.0,0.0034297779623638515,0.833189513586685,0.0,539.806567460286,5.98,0.10395671533324989,1196,6,uniform
FastestResponseScheduler,55.213117403174735,142.18851834284862,191.97799319349744,0.9548494983277592,0.2534878526111294,0.8539902053136391,0.0,571.5346551488982,5.98,9.044130794016219,1196,6,uniform
E2MACSScheduler,36.54980329917006,91.45671686601098,102.32661552319362,1.0,0.11585505969016907,0.95,0.0,570.8840932640388,5.98,0.7255339259652455,1196,6,uniform
OracleScheduler,37.05941285531293,90.55038002721005,93.9652233689607,1.0,0.09331234871602011,0.9405485057837583,0.0,599.1054996124576,5.98,0.12402968613136692,1196,6,uniform
RandomScheduler,42.18242215894041,91.51755495316394,143.6574835832939,0.9874292897548711,0.12132263164741444,0.8520757481354053,0.0,616.6002456667557,7.955,3.3275440534176934,1591,8,uniform
RoundRobinScheduler,38.70090047044155,90.02961556788236,94.85382753473313,1.0,0.11342598751506937,0.8547271642650478,0.0,616.3077046504304,7.955,0.3888407459546359,1591,8,uniform
LoadBalanceScheduler,35.141105705564605,85.30937038450048,89.1418252043934,1.0,0.011207394380346276,0.8553537380274376,0.0,574.164343997806,7.955,0.11475706586906197,1591,8,uniform
FastestResponseScheduler,61.98406746668506,162.04100959391354,227.3517444343753,0.9327467001885607,0.34173253721617974,0.8545661872597095,0.0,610.3623163751217,7.955,12.290022825519847,1591,8,uniform
E2MACSScheduler,38.239092473167325,92.91083972263436,135.91941192879196,1.0,0.174100446225469,0.9315230949894908,0.0,609.5205509028941,7.955,1.2542917189703342,1591,8,uniform
OracleScheduler,37.69204511302576,90.72401315506795,95.91710529482319,1.0,0.12603655974735978,0.941884414648502,0.0,647.1902663330054,7.955,0.2260497421655636,1591,8,uniform
RandomScheduler,43.47729938554492,95.52184537675501,151.19912544433416,0.9844221105527639,0.1467528176820805,0.8532442263916615,0.0,655.7146449885417,9.95,4.63691732555902,1990,10,uniform
RoundRobinScheduler,38.73738047535502,90.25142091908336,96.90360415899771,0.9989949748743718,0.1404585419321679,0.8543081466702244,0.0,653.83648746414,9.95,0.6287960588589985,1990,10,uniform
LoadBalanceScheduler,35.18851537868055,85.5887609793264,90.25409424668386,1.0,0.021129798695973014,0.8608228986790776,0.0,607.5871312022792,9.95,0.19850806672410293,1990,10,uniform
FastestResponseScheduler,69.04991174255693,178.99094726947112,255.22763688248844,0.9170854271356784,0.4250777427824143,0.8545591680973605,0.0,647.0342068242592,9.95,15.113788391540306,1990,10,uniform
